"","GAME_ID","League","Day/Night","PlayingSurface","Weather","WindSpeed","WindDirection","Temperature"
"69","2013/04/06/oakmlb-houmlb-1","AL","N","G","Partly Cloudy",12,"Out To LF",75
"70","2013/04/06/pitmlb-lanmlb-1","NL","N","G","Partly Cloudy",3,"Out To CF",66
"71","2013/04/06/sdnmlb-colmlb-1","NL","N","G","Overcast",21,"L To R",61
"72","2013/04/06/seamlb-chamlb-1","AL","D","G","Cloudy",25,"In From RF",57
"73","2013/04/06/slnmlb-sfnmlb-1","NL","D","G","Overcast",9,"Out To CF",59
"74","2013/04/06/wasmlb-cinmlb-1","NL","D","G","Partly Cloudy",12,"In From CF",57
"75","2013/04/06/bosmlb-tormlb-1","AL","D","T","Roof Closed",0,"None",68
"76","2013/04/06/kcamlb-phimlb-1","NL","N","G","Clear",4,"Out To CF",52
"77","2013/04/07/anamlb-texmlb-1","AL","N","G","Cloudy",17,"In From RF",73
"78","2013/04/07/chnmlb-atlmlb-1","NL","D","G","Partly Cloudy",9,"Out To CF",73
"79","2013/04/07/clemlb-tbamlb-1","AL","D","T","Dome",-1,"",72
"80","2013/04/07/miamlb-nynmlb-1","NL","D","G","Partly Cloudy",20,"Out To LF",53
"81","2013/04/07/minmlb-balmlb-1","AL","D","G","Sunny",2,"Out To CF",57
"82","2013/04/07/nyamlb-detmlb-1","AL","D","G","Partly Cloudy",17,"Out To LF",53
"83","2013/04/07/oakmlb-houmlb-1","AL","D","G","Cloudy",13,"Out To LF",79
"84","2013/04/07/pitmlb-lanmlb-1","NL","D","G","Partly Cloudy",10,"Out To RF",69
"85","2013/04/07/sdnmlb-colmlb-1","NL","D","G","Partly Cloudy",9,"In From LF",63
"86","2013/04/07/seamlb-chamlb-1","AL","D","G","Partly Cloudy",9,"In From LF",52
"87","2013/04/07/slnmlb-sfnmlb-1","NL","D","G","Cloudy",8,"In From RF",59
"88","2013/04/07/wasmlb-cinmlb-1","NL","D","G","Partly Cloudy",17,"Out To CF",70
"89","2013/04/07/bosmlb-tormlb-1","AL","D","T","Roof Closed",0,"None",68
"90","2013/04/07/kcamlb-phimlb-1","NL","D","G","Partly Cloudy",15,"Out To CF",59
"91","2013/04/07/arimlb-milmlb-1","NL","D","G","Roof Closed",0,"None",70
"92","2013/04/08/balmlb-bosmlb-1","AL","D","G","Cloudy",8,"In From LF",59
"93","2013/04/08/colmlb-sfnmlb-1","NL","N","G","Clear",25,"In From RF",58
"94","2013/04/08/milmlb-chnmlb-1","NL","D","G","Partly Cloudy",24,"Out To RF",60
"95","2013/04/08/minmlb-kcamlb-1","AL","D","G","Overcast",10,"R To L",73
