"","league","Year","PA/G","Runs/PA","1B/BIP","2B/BIP","3B/BIP","HR/BIP","BIP/PA","BB/PA","UBB/PA","IBB/PA","SO/PA","HBP/PA","AVG","OBP","wOBA"
"1","AL",2015,75.56203,0.115089,0.21149,0.063054,0.006799,0.039717,0.715266,0.076345,0.072103,0.004241,0.199034,0.009166,0.254518,0.316764,0.313839
"2","NL",2015,71.112676,0.11387,0.220921,0.065287,0.007612,0.036746,0.712906,0.080187,0.073559,0.006628,0.197755,0.008978,0.261555,0.325901,0.321388
"3","AL",2013,76.302063,0.113587,0.216462,0.063342,0.00539,0.038375,0.711549,0.081548,0.076889,0.004659,0.199218,0.007597,0.256123,0.320886,0.317692
"4","NL",2013,71.302347,0.109182,0.218259,0.063179,0.006518,0.03378,0.721189,0.081251,0.07464,0.00661,0.188182,0.009257,0.258183,0.324015,0.319496
"5","AL",2014,75.891079,0.109658,0.21721,0.062688,0.005867,0.032624,0.714861,0.076932,0.071921,0.00501,0.199,0.009106,0.252428,0.315169,0.311703
"6","NL",2014,70.951173,0.108677,0.221371,0.063368,0.007139,0.03236,0.713616,0.079218,0.07317,0.006047,0.197636,0.009382,0.256932,0.321324,0.317177
