NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE,AVG ANNUAL
"Nava, Daniel",BOS,RF,$556500,1 (2014),$556500,$556500
"Kipnis, Jason",CLE,2B,$554900,1 (2014),$554900,$554900
"Brown, Domonic",PHI,LF,$550000,1 (2014),$550000,$550000
"Escalona, Edgmer",BAL,P,$550000,1 (2014),$550000,$550000
"Peguero, Francisco",BAL,OF,$550000,1 (2014),$550000,$550000
"Reynolds, Matt",ARI,RP,$550000,1 (2014),$550000,$550000
"Kalish, Ryan",CHC,LF,$550000,1 (2014),$550000,$550000
"Moustakas, Mike",KC,3B,$549000,1 (2014),$549000,$549000
"Harvey, Matt",NYM,P,$546625,1 (2014),$546625,$546625
"Tillman, Chris",BAL,SP,$546000,1 (2014),$546000,$546000
"Cain, Lorenzo",KC,CF,$546000,1 (2014),$546000,$546000
"Jones, Nate",CWS,RP,$545000,1 (2014),$545000,$545000
"Arrieta, Jake",CHC,SP,$544500,1 (2014),$544500,$544500
"Rice, Scott",NYM,RP,$542500,1 (2014),$542500,$542500
"Phelps, David",NYY,SP,$541425,1 (2014),$541425,$541425
"Espinosa, Danny",WSH,2B,$540850,1 (2014),$540850,$540850
"Middlebrooks, Will",BOS,3B,$540500,1 (2014),$540500,$540500
"Seager, Kyle",SEA,3B,$540100,1 (2014),$540100,$540100
"Dozier, Brian",MIN,2B,$540000,1 (2014),$540000,$540000
"Reed, Addison",ARI,RP,$538500,1 (2014),$538500,$538500
"Pineda, Michael",NYY,SP,$538475,1 (2014),$538475,$538475
"Brown, Andrew",NYM,LF,$538045,1 (2014),$538045,$538045
"Coleman, Louis",KC,RP,$537000,1 (2014),$537000,$537000
"Manship, Jeff",PHI,RP,$535000,1 (2014),$535000,$535000
"Lynn, Lance",STL,SP,$535000,1 (2014),$535000,$535000
"Segura, Jean",MIL,SS,$534000,1 (2014),$534000,$534000
"Valencia, Danny",KC,3B,$532500,1 (2014),$532500,$532500
"Carpenter, David",ATL,RP,$532500,1 (2014),$532500,$532500
"Fien, Casey",MIN,RP,$530000,1 (2014),$530000,$530000
"Santiago, Hector",LAA,SP,$530000,1 (2014),$530000,$530000
"Dyson, Jarrod",KC,CF,$530000,1 (2014),$530000,$530000
"Castillo, Welington",CHC,C,$530000,1 (2014),$530000,$530000
"Shaw, Bryan",CLE,RP,$529500,1 (2014),$529500,$529500
"Gonzalez, Miguel",BAL,SP,$529000,1 (2014),$529000,$529000
"Wilhelmsen, Tom",SEA,RP,$528800,1 (2014),$528800,$528800
"Warren, Adam",NYY,RP,$527400,1 (2014),$527400,$527400
"Abad, Fernando",OAK,RP,$525900,1 (2014),$525900,$525900
"Alvarez, Henderson",MIA,SP,$525400,1 (2014),$525400,$525400
"Hicks, Brandon",SF,2B,$525000,1 (2014),$525000,$525000
"Mesoraco, Devin",CIN,C,$525000,1 (2014),$525000,$525000
"Miley, Wade",ARI,SP,$523500,1 (2014),$523500,$523500
"Kelly, Joe",STL,SP,$523000,1 (2014),$523000,$523000
"Herrera, Kelvin",KC,RP,$522250,1 (2014),$522250,$522250
"Britton, Zach",BAL,RP,$521500,1 (2014),$521500,$521500
"Miller, Shelby",STL,SP,$521000,1 (2014),$521000,$521000
"Cruz, Tony",STL,C,$521000,1 (2014),$521000,$521000
"Rosenthal, Trevor",STL,RP,$521000,1 (2014),$521000,$521000
"Gattis, Evan",ATL,C,$520250,1 (2014),$520250,$520250
"Smyly, Drew",DET,SP,$520000,1 (2014),$520000,$520000
"Richards, Garrett",LAA,SP,$520000,1 (2014),$520000,$520000
"Hoover, J.J.",CIN,RP,$520000,1 (2014),$520000,$520000
"Deduno, Samuel",MIN,RP,$520000,1 (2014),$520000,$520000
"Machado, Manny",BAL,3B,$519000,1 (2014),$519000,$519000
"Robinson, Shane",STL,RF,$519000,1 (2014),$519000,$519000
"Watson, Tony",PIT,RP,$518500,1 (2014),$518500,$518500
"Workman, Brandon",BOS,SP,$518000,1 (2014),$518000,$518000
"Kozma, Pete",STL,SS,$518000,1 (2014),$518000,$518000
"Conger, Hank",LAA,C,$517500,1 (2014),$517500,$517500
"Avilan, Luis",ATL,RP,$517500,1 (2014),$517500,$517500
"Florimon, Pedro",MIN,SS,$517500,1 (2014),$517500,$517500
"Lombardozzi, Steve",BAL,2B,$517500,1 (2014),$517500,$517500
"Jennings, Desmond",TB,CF,$517000,1 (2014),$517000,$517000
"Eovaldi, Nathan",MIA,SP,$517000,1 (2014),$517000,$517000
"Bogaerts, Xander",BOS,SS,$517000,1 (2014),$517000,$517000
"Cobb, Alex",TB,SP,$516900,1 (2014),$516900,$516900
"Lawrie, Brett",TOR,3B,$516100,1 (2014),$516100,$516100
"Veal, Donnie",CWS,RP,$516000,1 (2014),$516000,$516000
"Adams, Matt",STL,1B,$516000,1 (2014),$516000,$516000
"Delabar, Steve",TOR,RP,$515900,1 (2014),$515900,$515900
"Thayer, Dale",SD,RP,$515800,1 (2014),$515800,$515800
"Diekman, Jake",PHI,RP,$515500,1 (2014),$515500,$515500
"Mercer, Jordy",PIT,SS,$515500,1 (2014),$515500,$515500
"Allen, Cody",CLE,RP,$515400,1 (2014),$515400,$515400
"Scheppers, Tanner",TEX,SP,$515179,1 (2014),$515179,$515179
"Varvaro, Anthony",ATL,RP,$515000,1 (2014),$515000,$515000
"De La Rosa, Dane",LAA,RP,$515000,1 (2014),$515000,$515000
"Gordon, Dee",LAD,2B,$515000,1 (2014),$515000,$515000
"Wilson, Justin",PIT,RP,$515000,1 (2014),$515000,$515000
"Kohn, Michael",LAA,RP,$515000,1 (2014),$515000,$515000
"Corbin, Patrick",ARI,P,$515000,1 (2014),$515000,$515000
"Koehler, Tom",MIA,SP,$515000,1 (2014),$515000,$515000
"Peralta, Wily",MIL,SP,$515000,1 (2014),$515000,$515000
"Gomez, Jeanmar",PIT,RP,$514500,1 (2014),$514500,$514500
"Kluber, Corey",CLE,SP,$514000,1 (2014),$514000,$514000
"Rondon, Hector",CHC,RP,$514000,1 (2014),$514000,$514000
"Ciriaco, Pedro",KC,3B,$513500,1 (2014),$513500,$513500
"Gomes, Yan",CLE,C,$513000,6 (2014-19),$23000000,$3833333
"Locke, Jeff",PIT,SP,$513000,1 (2014),$513000,$513000
"Harrison, Josh",PIT,3B,$513000,1 (2014),$513000,$513000
"De Fratus, Justin",PHI,RP,$513000,1 (2014),$513000,$513000
"Ross Jr., Robbie",TEX,SP,$512745,1 (2014),$512745,$512745
"Medina, Yoervis",SEA,RP,$512600,1 (2014),$512600,$512600
"Cole, Gerrit",PIT,SP,$512500,1 (2014),$512500,$512500
"Arcia, Oswaldo",MIN,LF,$512500,1 (2014),$512500,$512500
"Rodriguez, Paco",LAD,RP,$512500,1 (2014),$512500,$512500
"Flaherty, Ryan",BAL,2B,$512500,1 (2014),$512500,$512500
"Cingrani, Tony",CIN,SP,$512500,1 (2014),$512500,$512500
"Loup, Aaron",TOR,RP,$512400,1 (2014),$512400,$512400
"Noesi, Hector",SEA,SP,$512400,1 (2014),$512400,$512400
"Wheeler, Zack",NYM,SP,$512375,1 (2014),$512375,$512375
"Lincoln, Brad",PHI,RP,$512300,1 (2014),$512300,$512300
"Gillaspie, Conor",CWS,3B,$512000,1 (2014),$512000,$512000
"Sanchez, Hector",SF,C,$512000,1 (2014),$512000,$512000
"Henderson, Jim",MIL,RP,$512000,1 (2014),$512000,$512000
"Ramirez, Erasmo",SEA,SP,$511800,1 (2014),$511800,$511800
"Presley, Alex",HOU,LF,$511500,1 (2014),$511500,$511500
"Morris, Bryan",PIT,RP,$511500,1 (2014),$511500,$511500
"Solano, Donovan",MIA,2B,$511500,1 (2014),$511500,$511500
"Archer, Chris",TB,SP,$511200,1 (2014),$511200,$511200
"Amarista, Alexi",SD,SS,$511100,1 (2014),$511100,$511100
"Eaton, Adam",CWS,CF,$511000,1 (2014),$511000,$511000
"Gyorko, Jedd",SD,2B,$510900,1 (2014),$510900,$510900
"Farquhar, Danny",SEA,RP,$510800,1 (2014),$510800,$510800
"Chisenhall, Lonnie",CLE,3B,$510800,1 (2014),$510800,$510800
"Lough, David",BAL,LF,$510500,1 (2014),$510500,$510500
"Kratz, Erik",TOR,C,$510200,1 (2014),$510200,$510200
"Vincent, Nick",SD,RP,$510200,1 (2014),$510200,$510200
"Miller, Brad",SEA,SS,$510100,1 (2014),$510100,$510100
"Dominguez, Matt",HOU,3B,$510100,1 (2014),$510100,$510100
"Ramos, A.J.",MIA,RP,$510000,1 (2014),$510000,$510000
"Garcia, Avisail",CWS,RF,$510000,1 (2014),$510000,$510000
"Thielbar, Caleb",MIN,RP,$510000,1 (2014),$510000,$510000
"Carter, Chris",HOU,1B,$510000,1 (2014),$510000,$510000
"Gimenez, Chris",TEX,C,$510000,1 (2014),$510000,$510000
