uid,lat,lng,locCount
32266710,39.24631,-76.67321,1
31838150,39.287228,-76.53538,1
32266705,39.28726,-76.53545,1
31838235,39.33294,-76.75965,1
31838035,39.33591,-76.48169,2
39423537,39.231537,-76.64179,1
62592889,39.23187,-76.56859,1
41332605,39.2319,-76.5759,1
40328880,39.232,-76.69015,2
46069458,39.23203,-76.774445,1
42643173,39.232033,-76.46033,1
41162004,39.23221,-76.45243,1
46249287,39.232323,-76.45747,1
12327269,39.232353,-76.45619,1
40230537,39.23241,-76.61178,1
65740461,39.232418,-76.45403,1
39223026,39.232567,-76.45788,1
42619263,39.232643,-76.57596,3
38971641,39.232662,-76.454575,1
53986155,39.23271,-76.60496,1
11625736,39.23275,-76.45822,1
40937271,39.23276,-76.61165,1
41756181,39.232887,-76.59876,1
40803837,39.232887,-76.71808,1
39886641,39.233013,-76.68901,1
40941387,39.233032,-76.460724,1
39123186,39.23311,-76.45182,1
41581071,39.23355,-76.59825,1
40173510,39.23371,-76.5948,1
65816820,39.23385,-76.59539,1
6508807,39.23389,-76.68803,1
45994134,39.233986,-76.59542,1
66129358,39.234177,-76.59554,1
39166422,39.234245,-76.5958,1
66789422,39.234337,-76.66446,1
38967417,39.234341,-76.604782,1
42702282,39.23439,-76.59733,1
41769189,39.234528,-76.45139,1
56034927,39.23473,-76.60602,1
67041045,39.234768,-76.59856,1
41573472,39.23486,-76.60927,1
41720376,39.234867,-76.66071,1
63011605,39.23492,-76.61169,1
41161944,39.23499,-76.45606,1
45994131,39.2351,-76.59719,1
39574272,39.23523,-76.79818,1
55807506,39.235233,-76.441826,1
39479214,39.235252,-76.597885,1
6877668,39.23528,-76.64481,1
39403002,39.23537,-76.71358,2
39566883,39.23537,-76.6002,1
39437259,39.235416,-76.58597,1
11498172,39.235477,-76.60078,1
40388460,39.23549,-76.60419,1
39801705,39.235657,-76.68551,1
42716337,39.23576,-76.61089,1
55809651,39.235767,-76.798195,1
39040623,39.235775,-76.61089,1
40252479,39.235855,-76.61119,1
66717077,39.235893,-76.68742,1
67033155,39.2359,-76.602196,1
40748478,39.23598,-76.79912,1
40647705,39.236057,-76.606384,1
39500055,39.23608,-76.59572,1
40661334,39.236088,-76.60276,3
56034807,39.23613,-76.61043,1
40725585,39.23621,-76.50782,1
46268478,39.23626,-76.60313,1
39387249,39.236305,-76.676186,1
39485820,39.23641,-76.61059,1
40221771,39.236427,-76.60147,1
6637560,39.236427,-76.799995,1
41526972,39.23644,-76.603584,1
41577261,39.236454,-76.66293,1
41329278,39.236458,-76.7989,1
55805409,39.236588,-76.50759,1
39376242,39.236637,-76.64142,1
56137272,39.236736,-76.610405,1
62519446,39.236782,-76.60422,1
39107817,39.236988,-76.441635,1
40369041,39.2371,-76.610245,1
41346309,39.237225,-76.713425,1
39531579,39.23727,-76.58854,1
39799482,39.237278,-76.71569,1
40175349,39.237312,-76.61012,1
39388554,39.237377,-76.66394,1
40323420,39.237404,-76.66031,2
40164474,39.237415,-76.66031,2
40384902,39.237495,-76.66036,1
41104968,39.237534,-76.60745,1
46241805,39.23757,-76.447815,1
11448656,39.237576,-76.68379,1
11425468,39.23767,-76.6609,4
39930285,39.237698,-76.6605,1
42643272,39.237717,-76.64554,1
39430407,39.23772,-76.608086,1
55809975,39.237747,-76.63828,1
40959489,39.23776,-76.68899,1
62934244,39.238186,-76.63847,1
63244276,39.23819,-76.630264,1
65992483,39.2382,-76.6101,1
2420095,39.23828,-76.64108,1
41112291,39.238285,-76.70152,1
40383744,39.238304,-76.50627,1
54183786,39.23835,-76.695045,1
46041816,39.238373,-76.50876,1
62942107,39.238434,-76.64107,1
41927874,39.238556,-76.68217,1
46249347,39.23856,-76.694534,1
46249185,39.23871,-76.60916,1
39112950,39.238716,-76.60916,1
45833343,39.23872,-76.66571,2
46237317,39.23876,-76.609795,1
53999916,39.23881,-76.61175,1
39166269,39.23888,-76.69398,1
53990334,39.239002,-76.61099,1
41009826,39.239002,-76.610985,1
53905761,39.239017,-76.60966,1
39033936,39.239048,-76.60726,1
39057288,39.239117,-76.6413,1
40180581,39.23919,-76.60963,1
39476661,39.23932,-76.646164,1
62542420,39.239346,-76.69175,1
39484809,39.239346,-76.60881,1
40831797,39.239357,-76.45598,1
46273815,39.239376,-76.44756,1
66601562,39.23941,-76.61124,1
54394632,39.239437,-76.70961,1
39188754,39.239475,-76.65543,1
45994572,39.23959,-76.5066,1
41800158,39.23973,-76.60259,1
40043793,39.24001,-76.65737,1
66164146,39.24027,-76.64097,1
41362806,39.24044,-76.641685,1
41120628,39.240467,-76.70976,1
