:@computed_region_s6p5_2pgr,balance,citation,councildistrict,description,expmm,expyy,importdate,location,location_2,location_2_address,location_2_city,location_2_state,location_2_zip,make,neighborhood,noticedate,openfine,openpenalty,penaltydate,policedistrict,state,tag,violcode,violdate,violfine
,0,61242864,,No Parking/Standing In Transit Stop,11.0,18,2017-08-12T04:02:00.000,200 WASHINGTON ST,,200 WASHINGTON ST,Baltimore,MD,,HONDA,,,77,0,,,MD,4CS8651,16,2017-08-10T21:33:00.000,77
,0,61272150,,All Other Parking Meter Violations,,0,2017-08-26T04:02:00.000,3300 CALVERT ST,,3300 CALVERT ST,Baltimore,MD,,MAZDA,,,32,0,,,PA,KGB9766,18,2017-08-24T10:28:00.000,32
13642.0,0,3065141,11.0,No Parking/Standing In Transit Stop,11.0,17,2017-09-28T04:02:00.000,200 N EUTAW ST,POINT (-76.621112 39.292121),200 N EUTAW ST,Baltimore,MD,,FORD,Downtown,,77,0,,Central,MD,54627B,16,2017-09-11T07:22:00.000,77
13642.0,0,3065257,11.0,No Parking/Standing In Transit Stop,9.0,17,2017-09-28T04:02:00.000,200 N EUTAW ST,POINT (-76.621112 39.292121),200 N EUTAW ST,Baltimore,MD,,TOYT,Downtown,,77,0,,Central,MD,5CB0558,16,2017-09-12T07:14:00.000,77
27953.0,0,61282324,11.0,All Other Parking Meter Violations,6.0,17,2017-08-25T04:02:00.000,900 LIGHT ST,POINT (-76.612612 39.278948),900 LIGHT ST,Baltimore,MD,,LINCO,Federal Hill,,32,0,,Southern,MD,3CY5837,18,2017-08-22T10:12:00.000,32
13642.0,0,3065380,11.0,No Parking/Standing In Transit Stop,7.0,14,2017-09-09T04:03:00.000,200 N EUTAW ST,POINT (-76.621112 39.292121),200 N EUTAW ST,Baltimore,MD,,HYUN,Downtown,,77,0,,Central,MD,4CW0711,16,2017-08-31T10:46:00.000,77
,0,61314978,,No Stopping/Standing Not Tow-Away Zone,2.0,19,2017-09-30T04:02:00.000,U/B BIDDLE ST,,,U B BIDDLE ST Baltimore,MD,,VOLVO,,,32,0,,,MD,9AE6574,12,2017-09-28T20:04:00.000,32
13642.0,77,3070018,,No Parking/Standing In Transit Stop,5.0,18,2017-07-05T04:02:00.000,110 N. EUTAW ST,POINT (-76.621019 39.290719),110 N EUTAW ST,Baltimore,MD,,CHEV,,,77,0,,,MD,7CX8310,16,2017-06-22T08:02:00.000,77
13642.0,0,3070083,,No Parking/Standing In Transit Stop,3.0,18,2017-07-22T04:02:00.000,100 N. EUTAW ST,POINT (-76.621016 39.290541),100 N EUTAW ST,Baltimore,MD,,HOND,,,77,0,,,MD,3BP4315,16,2017-06-27T07:24:00.000,77
27632.0,0,61334208,,No Stop/Park Street Cleaning,12.0,17,2017-08-23T09:35:00.000,1200 PRATT ST,POINT (-76.636556 39.285595),1200 PRATT ST,Baltimore,MD,,CHEVR,,,52,0,,,MD,A276714,27,2017-08-22T11:23:00.000,52
27307.0,0,61390598,,Expired Tags,4.0,17,2017-09-21T04:02:00.000,1500 SHEFFIELD RD,POINT (-76.592098 39.341984),1500 SHEFFIELD RD,Baltimore,MD,,KIA,,,32,0,,,MD,5CS5688,22,2017-09-19T08:38:00.000,32
13642.0,0,3070406,11.0,No Parking/Standing In Transit Stop,1.0,18,2017-08-09T04:02:00.000,100 N EUTAW ST,POINT (-76.621016 39.290541),100 N EUTAW ST,Baltimore,MD,,GMC,Downtown,,77,0,,Central,MD,41295HT,16,2017-07-18T13:50:00.000,77
,0,61435898,,Obstruct/Impeding Flow of Traffic,7.0,18,2017-09-06T04:02:00.000,U/B EUTAW ST,,,U B EUTAW ST Baltimore,MD,,KIA,,,102,0,,,MD,4CY4409,3,2017-09-01T16:44:00.000,102
27307.0,0,61437241,,All Other Parking Meter Violations,10.0,18,2017-09-08T04:02:00.000,3200 ST PAUL ST,POINT (-76.616027 39.326916),3200 ST PAUL ST,Baltimore,MD,,VOLKS,,,32,0,,,MD,MNE127,18,2017-09-06T19:45:00.000,32
13642.0,0,3074333,11.0,No Parking/Standing In Transit Stop,3.0,17,2017-08-19T04:02:00.000,108 N EUTAW ST,POINT (-76.621013 39.290963),108 N EUTAW ST,Baltimore,MD,,HYUN,Downtown,,77,0,,Central,MD,3BW0767,16,2017-08-03T10:07:00.000,77
27954.0,0,61450426,1.0,All Other Parking Meter Violations,11.0,18,2017-09-07T04:02:00.000,1700 THAMES ST,POINT (-76.592522 39.281847),1700 THAMES ST,Baltimore,MD,,JEEP,Fells Point,,32,0,,Southeastern,MD,2CR4203,18,2017-09-05T19:41:00.000,32
